year,hs2,exporter,importer,exporter_iso3,importer_iso3,partner,partner_iso3,direction,value,quantity,price,net_export,gdp_partner,gdp_russia,cpi_partner,cpi_russia,ex_rate_partner,ex_rate_russia,bilateral_er,iip_partner,iip_russia,dist,contig,comlang_off,unfriendly,sanction,eu_member,eaes_member,brics_member,cis_member
2017,09,Madagascar,Russian Federation,MDG,RUS,Madagascar,MDG,import,867.019,57.362,15.114866985112094,,13176313593.5509,1574199360089.0,8.60905075422951,3.68332944412233,3116.11,58.3428011851719,53.41035974789593,,106.88,8356.116,0.0,0.0,0,0,0,0,0,0
2017,09,Malawi,Russian Federation,MWI,RUS,Malawi,MWI,import,845.89,414.738,2.0395767930597146,,8943543793.5839,1574199360089.0,11.5433939188771,3.68332944412233,730.2725,58.3428011851719,12.516925570341012,103.32,106.88,7767.932,0.0,0.0,0,0,0,0,0,0
2017,09,Malaysia,Russian Federation,MYS,RUS,Malaysia,MYS,import,52.641,22.679,2.3211340888046212,,319109094160.343,1574199360089.0,3.87120115774237,3.68332944412233,4.30044087761124,58.3428011851719,0.07370988005807677,110.71,106.88,8130.454,0.0,0.0,0,0,0,0,0,0
2017,09,Mexico,Russian Federation,MEX,RUS,Mexico,MEX,import,3800.622,1189.088,3.1962495626900616,,1190721475906.0,1574199360089.0,6.04145724018993,3.68332944412233,18.9265166666667,58.3428011851719,0.3244019190404756,103.5,106.88,10736.3,0.0,0.0,0,0,0,0,0,0
2017,09,"Other Asia, nes",Russian Federation,S19,RUS,"Other Asia, nes",S19,import,76.30799999999999,4.203,18.155603140613845,,,1574199360089.0,,3.68332944412233,,58.3428011851719,,,106.88,,,,0,0,0,0,0,0
2017,09,Mongolia,Russian Federation,MNG,RUS,Mongolia,MNG,import,10.081,3.446,2.9254207777132906,,11480847740.736,1574199360089.0,4.30143105302339,3.68332944412233,2439.77720111244,58.3428011851719,41.81796471117195,108.76,106.88,4632.875,1.0,0.0,0,0,0,0,0,0
2017,09,Rep. of Moldova,Russian Federation,MDA,RUS,Rep. of Moldova,MDA,import,14.596,6.035,2.4185584092792047,,9514404016.20949,1574199360089.0,6.57022997455602,3.68332944412233,18.4990348873528,58.3428011851719,0.31707484919415246,106.51,106.88,1150.314,0.0,0.0,0,0,0,0,0,1
2017,09,Morocco,Russian Federation,MAR,RUS,Morocco,MAR,import,100.718,9.762,10.317353001434132,,118540573367.844,1574199360089.0,0.754663249323624,3.68332944412233,9.6919978888289,58.3428011851719,0.1661215727038517,107.5,106.88,4156.454,0.0,0.0,0,0,0,0,0,0
2017,09,Mozambique,Russian Federation,MOZ,RUS,Mozambique,MOZ,import,201.895,138.462,1.458125695136572,,13264640645.7768,1574199360089.0,15.1132073899384,3.68332944412233,63.584322913399,58.3428011851719,1.0898400766118728,,106.88,9107.99,0.0,0.0,0,0,0,0,0,0
2017,09,Nepal,Russian Federation,NPL,RUS,Nepal,NPL,import,862.09,272.92199999999997,3.15874132536036,,28971588940.364,1574199360089.0,3.62709610696607,3.68332944412233,104.511885242862,58.3428011851719,1.7913415729072704,122.35,106.88,4889.868,0.0,0.0,0,0,0,0,0,0
2017,09,Netherlands,Russian Federation,NLD,RUS,Netherlands,NLD,import,11174.907000000001,2886.29,3.871720097426108,,848233537845.884,1574199360089.0,1.38145871407207,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,106.36,106.88,2155.229,0.0,0.0,1,1,1,0,0,0
2017,09,New Zealand,Russian Federation,NZL,RUS,New Zealand,NZL,import,0.091,0.022,4.136363636363637,,206745969246.073,1574199360089.0,1.85078767452534,3.68332944412233,1.40740833333333,58.3428011851719,0.0241230846778579,105.01,106.88,16774.49,0.0,0.0,1,0,0,0,0,0
2017,09,Nicaragua,Russian Federation,NIC,RUS,Nicaragua,NIC,import,2977.492,882.447,3.374131250941983,,13785893007.4769,1574199360089.0,3.85067166284727,3.68332944412233,30.0509413442878,58.3428011851719,0.51507539463027,106.36,106.88,10876.95,0.0,0.0,0,0,0,0,0,0
2017,09,Nigeria,Russian Federation,NGA,RUS,Nigeria,NGA,import,402.36,174.86800000000002,2.3009355628245305,,375745731053.427,1574199360089.0,16.5022662139641,3.68332944412233,305.790109160005,58.3428011851719,5.241265468030407,95.44,106.88,6263.33,0.0,0.0,0,0,0,0,0,0
2017,09,Norway,Russian Federation,NOR,RUS,Norway,NOR,import,2.665,0.331,8.051359516616314,,401745275035.261,1574199360089.0,1.87510059552554,3.68332944412233,8.27166666666666,58.3428011851719,0.14177698873959693,95.61,106.88,1649.799,1.0,0.0,1,1,0,0,0,0
2017,09,Panama,Russian Federation,PAN,RUS,Panama,PAN,import,2.7430000000000003,0.395,6.944303797468355,,64327688800.0,1574199360089.0,0.875585918759832,3.68332944412233,1.0,58.3428011851719,0.01714007520527065,103.8,106.88,10819.55,0.0,0.0,0,0,0,0,0,0
2017,09,Papua New Guinea,Russian Federation,PNG,RUS,Papua New Guinea,PNG,import,5118.853,1678.232,3.050146225313306,,22742699138.356,1574199360089.0,5.42204568023833,3.68332944412233,3.18878838289617,58.3428011851719,0.05465607269653373,107.59,106.88,12100.54,0.0,0.0,0,0,0,0,0,0
2017,09,Paraguay,Russian Federation,PRY,RUS,Paraguay,PRY,import,6.277,1.535,4.089250814332248,,38997129473.5558,1574199360089.0,3.60247741348943,3.68332944412233,5618.9334516428,58.3428011851719,96.30894193456858,111.08,106.88,12642.6,0.0,0.0,0,0,0,0,0,0
2017,09,Peru,Russian Federation,PER,RUS,Peru,PER,import,5211.686,1843.971,2.8263383751696742,,211007984080.911,1574199360089.0,2.99490045809443,3.68332944412233,3.2604884908321,58.3428011851719,0.055885017938781596,98.43,106.88,12666.63,0.0,0.0,0,0,0,0,0,0
2017,09,Poland,Russian Federation,POL,RUS,Poland,POL,import,14160.672,1548.377,9.145493636239754,,528356723263.073,1574199360089.0,2.07593553673849,3.68332944412233,3.77933333333333,58.3428011851719,0.06477805755911949,111.87,106.88,1156.427,1.0,0.0,1,1,1,0,0,0
2017,09,Portugal,Russian Federation,PRT,RUS,Portugal,PRT,import,3104.441,671.182,4.625334112059024,,220862990767.229,1574199360089.0,1.36861411643479,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,102.44,106.88,3913.34,0.0,0.0,1,1,1,0,0,0
2017,09,Romania,Russian Federation,ROU,RUS,Romania,ROU,import,16.363,8.058,2.0306527674360884,,210147385855.419,1574199360089.0,1.33902121104398,3.68332944412233,4.05249166666666,58.3428011851719,0.06946001193539916,113.62,106.88,,,,1,1,1,0,0,0
2017,09,Russian Federation,Azerbaijan,RUS,AZE,Azerbaijan,AZE,export,3657.4900000000002,762.7120000000001,4.79537492526668,-1487.4819999999995,40866627351.9817,1574199360089.0,12.9359184187335,3.68332944412233,1.72115480222734,58.3428011851719,0.029500722750089338,99.07,106.88,1930.747,1.0,0.0,0,0,0,0,0,1
2017,09,Russian Federation,Australia,RUS,AUS,Australia,AUS,export,21.807,1.7209999999999999,12.671121441022661,16.201999999999998,1325582658156.54,1574199360089.0,1.94864740944521,3.68332944412233,1.30475807671592,58.3428011851719,0.02236365155959516,98.86,106.88,14503.07,0.0,0.0,1,1,0,0,0,0
2017,09,Russian Federation,Austria,RUS,AUT,Austria,AUT,export,72.501,111.82300000000001,0.6483549895817498,-19047.066,414926138132.691,1574199360089.0,2.08126911385585,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,107.46,106.88,1675.699,0.0,0.0,1,1,1,0,0,0
2017,09,Russian Federation,Bangladesh,RUS,BGD,Bangladesh,BGD,export,96.471,277.792,0.347277819375648,96.471,293732446624.596,1574199360089.0,5.70207015717244,3.68332944412233,80.4375416666667,58.3428011851719,1.3787055134937587,129.58,106.88,5548.405,0.0,0.0,0,0,0,0,0,0
2017,09,Russian Federation,Armenia,RUS,ARM,Armenia,ARM,export,2440.7980000000002,373.621,6.532818016117939,-283.0619999999999,11527458709.0158,1574199360089.0,0.969553268816178,3.68332944412233,482.716393849129,58.3428011851719,8.273795293391117,140.77,106.88,1803.035,0.0,0.0,0,0,0,1,0,1
2017,09,Russian Federation,Belgium,RUS,BEL,Belgium,BEL,export,42.649,13.143,3.2449973369854677,-3849.7290000000003,500908767351.53,1574199360089.0,2.12597086002608,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,105.61,106.88,2261.25,0.0,0.0,1,1,1,0,0,0
2017,09,Russian Federation,Bosnia Herzegovina,RUS,BIH,Bosnia Herzegovina,BIH,export,4.907,4.215,1.1641755634638198,4.907,18326373366.1105,1574199360089.0,0.810133321953058,3.68332944412233,1.73535271327691,58.3428011851719,0.02974407601323671,108.49,106.88,1902.116,0.0,0.0,0,0,0,0,0,0
